"","FIPS","County","Median_HH_Income","Population","Year"
"1","01001","Autauga County, Alabama",49584,51463,2009
"2","01003","Baldwin County, Alabama",171997,48918,2009
"3","01005","Barbour County, Alabama",29663,32537,2009
"4","01007","Bibb County, Alabama",21464,41236,2009
"5","01009","Blount County, Alabama",56804,45406,2009
"6","01011","Bullock County, Alabama",10917,26209,2009
"7","01013","Butler County, Alabama",20189,31938,2009
"8","01015","Calhoun County, Alabama",112969,38382,2009
"9","01017","Chambers County, Alabama",34704,32433,2009
"10","01019","Cherokee County, Alabama",24427,40240,2009
"11","01021","Chilton County, Alabama",42272,38966,2009
"12","01023","Choctaw County, Alabama",14229,30749,2009
"13","01025","Clarke County, Alabama",26438,27080,2009
"14","01027","Clay County, Alabama",13769,37652,2009
"15","01029","Cleburne County, Alabama",14579,33742,2009
"16","01031","Coffee County, Alabama",46802,41973,2009
"17","01033","Colbert County, Alabama",54546,39366,2009
"18","01035","Conecuh County, Alabama",13114,27216,2009
"19","01037","Coosa County, Alabama",10777,33595,2009
"20","01039","Covington County, Alabama",36688,33278,2009
"21","01041","Crenshaw County, Alabama",13687,31058,2009
"22","01043","Cullman County, Alabama",80630,38394,2009
"23","01045","Dale County, Alabama",48233,42225,2009
"24","01047","Dallas County, Alabama",42748,26442,2009
"25","01049","DeKalb County, Alabama",68183,33634,2009
"26","01051","Elmore County, Alabama",76714,52971,2009
"27","01053","Escambia County, Alabama",37561,32321,2009
"28","01055","Etowah County, Alabama",103150,36378,2009
"29","01057","Fayette County, Alabama",17651,35754,2009
"30","01059","Franklin County, Alabama",30847,33380,2009
"31","01061","Geneva County, Alabama",25800,31055,2009
"32","01063","Greene County, Alabama",9112,22352,2009
"33","01065","Hale County, Alabama",17994,29841,2009
"34","01067","Henry County, Alabama",16580,35792,2009
"35","01069","Houston County, Alabama",97091,41096,2009
"36","01071","Jackson County, Alabama",52898,35073,2009
"37","01073","Jefferson County, Alabama",662212,44718,2009
"38","01075","Lamar County, Alabama",14438,31094,2009
