resp_id,agency,year,name,id_rssd,assets
0000000001,1,2009,"WACHOVIA BANK, NA",484422,635476000
0000000008,1,2009,"JPMORGAN CHASE BANK, NA",852218,1746242000
0000000024,1,2009,"US BANK, N.A.",504713,261775591
0000000047,1,2009,FIRST FINANCIAL BANK NA,693345,2224572
0000000056,1,2009,FIRST FINANCIAL BANK,165628,3685878
0000000148,1,2009,FIRST NATIONAL BANK OF CC,23812,1297208
0000000209,1,2009,FIRST NATIONAL BANK OF OMAHA,527954,9901044
0000000249,1,2009,FIRST NATIONAL BANK OF PA,379920,8210895
0000000311,1,2009,ADAMS COUNTY NATIONAL BANK,5210,960896
0000000324,1,2009,FIRST NATIONAL BANK & TRUST CO,1007417,629874
0000000325,1,2009,"FNB BANK, N.A.",131418,363107
0000000336,1,2009,FIRST TENNESSEE BANK NA,485559,30786926
0000000446,1,2009,"THE FIRST, N.A.",439404,1294504
0000000568,1,2009,FIRST KEYSTONE NATIONAL BANK,790918,721879
0000000661,1,2009,"DNB FIRST, NA",71318,534358
0000000969,1,2009,BEVERLY NATIONAL BANK,161107,484096
0000001090,1,2009,ALLIANCE BANK NA,814216,1359556
0000001316,1,2009,PNC BANK NA,817824,140777455
0000001354,1,2009,NBT BANK NA,702117,5306865
0000001461,1,2009,"CITIBANK, N.A.",476810,1227040000
0000001741,1,2009,"WELLS FARGO BANK, NA",451965,538958000
0000001750,1,2009,FIRST NATIONAL BANK OF SANTA F,787253,628260
0000001770,1,2009,BOONE COUNTY NATIONAL,299046,1126431
0000001950,1,2009,FIRST NATIONAL BANK,397540,992565
0000001997,1,2009,NATIONAL BANK & TRUST COMPANY,328423,523956
0000002137,1,2009,NATIONAL PENN BANK,802110,9164828
0000002151,1,2009,WILBER NATIONAL BANK,875918,924816
0000002234,1,2009,FIRST MERCHANTS BANK N.A.,17147,2041199
0000002311,1,2009,CAMDEN NATIONAL BANK,593007,2322457
0000002333,1,2009,UNIVEST NATIONAL BANK & TRUST,354310,2054241
0000002360,1,2009,LCNB NATIONAL BANK,785923,648792
0000002413,1,2009,CITIZENS FIRST NATIONAL BANK,669443,1163463
0000002515,1,2009,EPHRATA NATIONAL BANK,425911,688423
0000002597,1,2009,"WELLS FARGO BANK NORTHWEST, NA",688079,14213000
0000002637,1,2009,FIRST NATIONAL BANK OF DURANGO,68859,384686
0000002747,1,2009,"HORIZON BANK, N.A.",130541,1304420
0000002782,1,2009,"INTRUST BANK,  N. A.",557858,3480952
0000002848,1,2009,FREMONT NATIONAL BANK & TRUST,264558,339656
0000002881,1,2009,1ST NATL AUDRAIN COUNTY,934954,142125
0000002919,1,2009,THIRD NATIONAL BANK,611451,286099
0000003393,1,2009,THE FIRST NATIONAL BANK IN SIO,326858,1159455
0000003496,1,2009,FIRST NATIONAL BANK,181459,498698
0000003654,1,2009,FARMERS NATIONAL BANK,680813,879130
0000003656,1,2009,"CADENCE BANK, N.A.",115641,1967150
0000003817,1,2009,CANANDAIGUA NATIONAL BANK,161602,1393853
0000004039,1,2009,FIRST NATIONAL BANK,212018,325744
0000004230,1,2009,SUFFOLK COUNTY NATIONAL BANK,799612,1582361
0000004284,1,2009,CENTRAL NATIONAL BANK,234355,901102
0000004341,1,2009,ZIONS FIRST NATIONAL BANK,276579,20778268
0000004596,1,2009,OLD SECOND NATIONAL BANK,936136,2981688
0000004677,1,2009,FIRST CITIZENS NATIONAL BANK,186744,854445
0000004742,1,2009,"SUNFLOWER BANK, N.A.",474759,1647527
0000004945,1,2009,UMB NBA,597555,835953
0000005179,1,2009,FROST NATIONAL BANK,682563,15112135
0000005263,1,2009,FIRST CITIZENS NATIONAL BANK,133850,927162
0000005347,1,2009,STILLWATER NATIONAL BANK,398350,2743888
0000005552,1,2009,"PEOPLES BANK, NATIONAL ASSOCIA",577128,1993254
0000006207,1,2009,QUEENSBOROUGH NATIONAL BANK,960935,860555
0000006301,1,2009,BNY MELLON N.A.,934329,7557194
0000006443,1,2009,RAPPAHANNOCK NATIONAL BANK,978323,176831
0000006680,1,2009,SIMMONS FIRST NATIONAL BANK,663245,1424029
0000006776,1,2009,FIRST NATIONAL BANK,86527,987213
0000007003,1,2009,SWINEFORD NATIONAL BANK,203418,295172
0000007266,1,2009,CITIZENS NATIONAL BANK OF MERI,69333,1158027
0000007699,1,2009,GLENS FALLS NATIONAL BANK,866000,1425044
0000007745,1,2009,THE HUNTINGTON NATIONAL BANK,12311,53586626
0000007746,1,2009,FIRST NATIONAL BANK OF JASPER,157838,562293
0000008328,1,2009,FIRST NAT'L B&T OF COLUMBUS,77758,407304
0000008531,1,2009,"COMMUNITY BANK, N.A.",202907,5146791
0000008796,1,2009,ARMED FORCES BANK,983457,861531
0000008846,1,2009,OLD NATIONAL BANK,208244,7712867
0000008899,1,2009,MOODY NATIONAL BANK,253356,831117
0000008930,1,2009,FIRST NATIONAL BANK OF PALMERT,186717,579640
0000008953,1,2009,"COMMUNITYONE BANK, N.A.",591825,2042043
0000009179,1,2009,THE PARK NATIONAL BANK,489623,6243147
0000009541,1,2009,HARLEYSVILLE NATIONAL BANK,284819,5478061
0000009669,1,2009,BRIDGEHAMPTON NATIONAL BANK,23504,837705
0000009868,1,2009,FIRST NATIONAL COMMUNITY BANK,239613,1313425
0000010045,1,2009,FIRST MID-ILLINOIS BANK,762447,1042740
0000010360,1,2009,FIRST VICTORIA NATIONAL BANK,488167,1445577
0000010523,1,2009,TRUSTMARK NATIONAL BANK,342634,9657261
0000010536,1,2009,THE CONWAY NATIONAL BANK,631422,875037
0000010660,1,2009,NATIONAL BK OF SOUTH CAROLINA,580623,5008847
0000011076,1,2009,FARMERS NATIONAL BANK,307062,395995
0000011573,1,2009,THE CITIZENS NATIONAL BANK,738013,542933
0000011818,1,2009,BREMER BANK NA (ST CLOUD),824550,665781
0000012072,1,2009,FIRST NATIONAL BANK ALASKA,114260,2437510
0000012132,1,2009,"INTEGRA BANK, NA",23241,3348776
0000012333,1,2009,FIRST NATIONAL BK OF ST. LOUIS,506249,1613097
0000012425,1,2009,UNION CENTER NATIONAL BANK,29104,1022758
